"terms";"count";"prob"
"big";506;0.000764782520638548
"again";504;0.000761759664825747
"find";495;0.000748156813668145
"same";491;0.000742111102042544
"such";489;0.000739088246229743
"feel";486;0.000734553962510542
"let";482;0.000728508250884941
"thanks";481;0.000726996822978541
"both";479;0.00072397396716574
"part";479;0.00072397396716574
"show";470;0.000710371116008138
"team";470;0.000710371116008138
"man";469;0.000708859688101737
"put";468;0.000707348260195337
"thing";468;0.000707348260195337
"until";468;0.000707348260195337
"family";466;0.000704325404382536
"house";460;0.000695256836944135
"lot";460;0.000695256836944135
"says";454;0.000686188269505733
"away";449;0.000678631129973731
"days";445;0.00067258541834813
"give";442;0.000668051134628929
"during";439;0.000663516850909728
"help";439;0.000663516850909728
"sure";439;0.000663516850909728
"old";424;0.000640845432313724
"went";424;0.000640845432313724
"book";423;0.000639334004407324
"without";423;0.000639334004407324
"hope";419;0.000633288292781723
"might";416;0.000628754009062522
"though";415;0.000627242581156121
"happy";414;0.000625731153249721
"end";405;0.000612128302092119
"getting";404;0.000610616874185718
"against";403;0.000609105446279318
"used";403;0.000609105446279318
"season";402;0.000607594018372918
"told";400;0.000604571162560117
"million";398;0.000601548306747316
"found";390;0.000589456883496114
"between";389;0.000587945455589714
"keep";389;0.000587945455589714
"play";389;0.000587945455589714
"came";388;0.000586434027683314
"times";387;0.000584922599776913
"left";383;0.000578876888151312
"set";383;0.000578876888151312
"money";382;0.000577365460244912
"high";377;0.00056980832071291
"percent";377;0.00056980832071291
"ever";375;0.00056678546490011
"once";372;0.000562251181180909
"enough";370;0.000559228325368108
"called";364;0.000550159757929707
"doing";364;0.000550159757929707
"having";361;0.000545625474210506
"county";355;0.000536556906772104
"police";355;0.000536556906772104
"second";352;0.000532022623052903
"yet";348;0.000525976911427302
"everyone";347;0.000524465483520901
"four";346;0.000522954055614501
"thought";346;0.000522954055614501
"looking";345;0.000521442627708101
"under";344;0.000519931199801701
"god";342;0.0005169083439889
"free";339;0.000512374060269699
"read";337;0.000509351204456899
"children";335;0.000506328348644098
"don’t";334;0.000504816920737698
"start";332;0.000501794064924897
"morning";326;0.000492725497486495
"friends";325;0.000491214069580095
"someone";325;0.000491214069580095
"hard";324;0.000489702641673695
"job";323;0.000488191213767295
"point";322;0.000486679785860894
"public";322;0.000486679785860894
"far";321;0.000485168357954494
"took";321;0.000485168357954494
"top";321;0.000485168357954494
"done";319;0.000482145502141693
"call";311;0.000470054078890491
"everything";311;0.000470054078890491
"must";311;0.000470054078890491
"making";310;0.000468542650984091
"company";309;0.00046703122307769
"least";308;0.00046551979517129
"pretty";307;0.00046400836726489
"tell";307;0.00046400836726489
"anything";306;0.00046249693935849
"story";306;0.00046249693935849
"course";305;0.000460985511452089
"person";305;0.000460985511452089
"trying";305;0.000460985511452089
"minutes";303;0.000457962655639289
"bit";300;0.000453428371920088
"try";299;0.000451916944013687
"fun";298;0.000450405516107287
"working";298;0.000450405516107287
"room";297;0.000448894088200887
"kids";295;0.000445871232388086
"water";295;0.000445871232388086
"real";293;0.000442848376575286
"makes";291;0.000439825520762485
"able";290;0.000438314092856085
"different";290;0.000438314092856085
"however";289;0.000436802664949685
"post";289;0.000436802664949685
"food";287;0.000433779809136884
"already";285;0.000430756953324083
"government";285;0.000430756953324083
"i’m";285;0.000430756953324083
"lol";284;0.000429245525417683
"run";284;0.000429245525417683
"bad";283;0.000427734097511283
"early";282;0.000426222669604883
